worker_id,loss,class,skipped
1,10.07092571258545,9,False
2,8.757744789123535,1,False
3,11.310419082641602,0,False
1,10.007017135620117,6,False
0,11.616170883178711,6,False
2,7.336435317993164,5,False
2,8.303033828735352,0,False
3,9.376274108886719,5,False
0,11.255642890930176,2,False
1,8.508837699890137,4,False
0,10.99236011505127,0,False
1,9.87971305847168,8,False
2,9.512718200683594,3,False
3,8.246435165405273,5,False
1,9.05233383178711,3,False
2,12.061962127685547,5,False
0,6.801969051361084,4,False
3,8.732633590698242,9,False
1,10.623490333557129,6,False
3,9.512308120727539,4,False
0,12.108390808105469,8,False
2,12.356534957885742,2,False
1,8.18183708190918,8,False
3,11.317651748657227,0,False
2,11.053930282592773,2,False
0,9.147425651550293,5,False
0,10.591251373291016,1,False
2,9.346975326538086,8,False
3,9.430093765258789,8,False
1,10.824594497680664,1,False
0,8.791728973388672,1,False
3,10.904692649841309,1,False
2,9.581674575805664,0,False
1,7.786824703216553,4,False
0,10.348203659057617,1,False
2,12.797203063964844,2,False
3,10.767913818359375,0,False
1,6.94580078125,4,False
1,10.64355182647705,3,False
2,9.192670822143555,9,False
0,11.484258651733398,5,False
3,8.874629020690918,4,False
3,12.242045402526855,8,False
0,10.500404357910156,9,False
1,11.440773010253906,5,False
2,9.39434814453125,9,False
2,10.483564376831055,3,False
3,9.506418228149414,3,False
1,9.964303970336914,5,False
0,7.89393424987793,6,False
0,11.709932327270508,6,False
1,11.127328872680664,8,False
3,9.904788970947266,0,False
2,10.642138481140137,4,False
3,13.724506378173828,2,False
0,8.665101051330566,9,False
1,8.390122413635254,4,False
2,13.730608940124512,2,False
3,7.025472640991211,9,False
0,11.982274055480957,8,False
2,9.327067375183105,4,False
1,11.03218936920166,5,False
0,11.082056999206543,4,False
1,11.256101608276367,2,False
2,10.132991790771484,8,False
3,7.872993469238281,6,False
2,12.708202362060547,7,False
3,10.16908073425293,9,False
0,8.24626350402832,9,False
1,10.42792797088623,9,False
3,6.65753173828125,6,False
0,10.033161163330078,6,False
1,11.64529800415039,6,False
2,8.890264511108398,6,False
1,8.656370162963867,8,False
2,13.50307846069336,3,False
3,8.028979301452637,0,False
0,13.34836196899414,5,False
3,9.338354110717773,0,False
0,12.14610481262207,1,False
2,8.305410385131836,4,False
1,8.65693473815918,9,False
1,8.325667381286621,1,False
0,10.432538986206055,2,False
3,15.202921867370605,0,False
2,11.575910568237305,0,False
1,9.979839324951172,4,False
3,9.082473754882812,7,False
2,9.466029167175293,3,False
0,11.782879829406738,0,False
2,10.031268119812012,5,False
1,9.556374549865723,9,False
3,15.569104194641113,2,False
0,11.21005916595459,0,False
0,7.711882591247559,4,False
2,10.229708671569824,0,False
3,12.771157264709473,8,False
1,9.101042747497559,1,False
3,10.143957138061523,8,False
1,9.28219985961914,6,False
2,8.29138469696045,3,False
0,11.041135787963867,4,False
0,10.945060729980469,2,False
1,9.478736877441406,6,False
3,10.588482856750488,2,False
2,8.417319297790527,9,False
0,10.456657409667969,1,False
2,9.52485466003418,4,False
3,8.964677810668945,0,False
1,7.790915489196777,8,False
0,11.598672866821289,1,False
1,8.704337120056152,8,False
3,8.825836181640625,4,False
2,7.799805164337158,9,False
3,11.15403938293457,2,False
0,12.298040390014648,3,False
1,12.49868392944336,5,False
2,10.14346694946289,8,False
1,9.570592880249023,1,False
2,8.953258514404297,6,False
0,11.01458740234375,5,False
3,10.402688980102539,8,False
3,8.82342529296875,1,False
0,8.367385864257812,5,False
1,12.587228775024414,3,False
2,8.698028564453125,7,False
3,13.087453842163086,6,False
1,12.834227561950684,3,False
0,14.00920295715332,2,False
2,8.857152938842773,1,False
0,11.868492126464844,2,False
1,10.208724975585938,2,False
2,10.865131378173828,5,False
3,10.862199783325195,1,False
1,12.561664581298828,6,False
3,10.325033187866211,4,False
2,9.690674781799316,8,False
0,12.437518119812012,8,False
2,11.426319122314453,5,False
3,8.055700302124023,6,False
1,9.897125244140625,3,False
0,10.060310363769531,8,False
1,10.80498218536377,7,False
2,8.119583129882812,5,False
0,8.568658828735352,5,False
3,8.69182014465332,7,False
3,9.744165420532227,1,False
2,9.699104309082031,7,False
1,8.271573066711426,5,False
0,10.596725463867188,5,False
0,9.991888999938965,1,False
1,11.750093460083008,3,False
3,10.658073425292969,9,False
2,13.22289752960205,4,False
3,10.198482513427734,2,False
0,9.04379653930664,5,False
2,7.708707332611084,9,False
1,8.385370254516602,1,False
1,9.751112937927246,3,False
3,8.746217727661133,8,False
2,10.012823104858398,7,False
0,8.351304054260254,1,False
3,7.161947250366211,1,False
1,11.80639934539795,6,False
0,9.043550491333008,9,False
2,8.406272888183594,6,False
0,10.509714126586914,5,False
3,10.816591262817383,5,False
2,10.408653259277344,7,False
1,15.5722017288208,2,False
1,9.458643913269043,0,False
0,9.269134521484375,5,False
2,10.444036483764648,1,False
3,9.045828819274902,4,False
0,11.25843620300293,6,False
1,15.180458068847656,3,False
3,11.18108081817627,0,False
2,10.660284996032715,1,False
3,8.220823287963867,1,False
0,9.103713989257812,5,False
2,11.581066131591797,5,False
1,12.575416564941406,2,False
3,8.052566528320312,3,False
1,9.487417221069336,0,False
0,10.289989471435547,4,False
2,9.065568923950195,4,False
