gen	idx	N	D	K_hh	K_iter	alpha_ahebb	alpha_reflect	routing_mode	polarizer_alpha	accuracy	fitness	flops_M	params	best_epoch	elapsed_s	error
2	10	2048	16	2	5	1.0	0.5	standard	0.5	0.931465	1.024611	0.983	67744	20	38.6	
2	11	2048	16	2	5	1.0	0.5	standard	0.0	0.911338	1.002471	0.983	67744	18	38.7	
2	12	2048	16	2	5	1.0	0.5	standard	1.5	0.913631	1.004994	0.983	67744	20	38.6	
2	13	2048	16	2	5	1.0	0.5	standard	0.0	0.913376	1.004713	0.983	67744	20	38.6	
2	14	2048	16	2	5	1.0	0.5	standard	0.0	0.922293	1.014522	0.983	67744	17	38.7	
2	15	2048	16	2	5	1.0	0.5	standard	0.0	0.911083	1.002191	0.983	67744	18	38.7	
2	16	2048	16	2	5	1.0	0.5	standard	0.0	0.927389	1.020127	0.983	67744	20	38.7	
2	17	2048	16	3	5	0.0	0.5	delta_proj	1.5	0.957962	1.005860	1.475	67744	20	57.7	
2	18	4096	16	2	5	1.0	0.5	delta_proj	1.0	0.953121	1.000777	1.966	135328	18	93.0	
2	19	2048	16	2	5	1.0	0.5	standard	0.0	0.922803	1.015083	0.983	67744	20	38.7	
2	20	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.945223	1.039745	0.983	67744	17	55.2	
2	21	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.938344	1.032178	0.983	67744	20	55.2	
2	22	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.942675	1.036943	0.983	67744	20	55.3	
2	23	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.949554	1.044510	0.983	67744	18	52.0	
2	24	2048	16	2	5	1.0	0.5	wpos_proj	1.0	0.926624	1.019287	0.983	67744	20	55.3	
2	25	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.942420	1.036662	0.983	67744	19	55.3	
2	26	2048	16	2	5	1.0	0.5	standard	1.5	0.926115	1.018726	0.983	67744	20	38.7	
2	27	2048	16	2	5	1.0	0.5	wpos_proj	1.5	0.931210	1.024331	0.983	67744	16	55.2	
2	28	2048	16	2	5	1.0	0.5	standard	0.0	0.926369	1.019006	0.983	67744	17	38.6	
2	29	2048	16	2	5	1.0	0.5	delta_proj	1.5	0.951338	1.046471	0.983	67744	20	52.0	
2	30	2048	16	2	5	1.0	0.5	standard	0.5	0.903185	0.993503	0.983	67744	18	38.7	
2	31	2048	16	2	5	0.0	0.5	delta_proj	0.0	0.197197	0.216917	0.983	67744	19	47.8	
2	32	2048	16	2	5	1.0	0.3	standard	0.0	0.901401	0.991541	0.983	67744	17	38.7	
2	33	2048	16	2	5	1.0	0.3	standard	0.0	0.917707	1.009478	0.983	67744	20	38.7	
2	34	2048	16	2	5	1.0	0.5	standard	0.5	0.909809	1.000790	0.983	67744	20	38.7	
2	35	2048	16	2	5	0.0	0.5	delta_proj	1.5	0.952357	1.047592	0.983	67744	20	47.9	
2	36	4096	16	2	5	1.0	0.5	delta_proj	1.0	0.951592	0.999172	1.966	135328	17	92.9	
2	37	2048	16	2	5	1.0	0.5	standard	1.5	0.911338	1.002471	0.983	67744	18	38.6	
2	38	2048	16	2	5	1.0	0.5	standard	0.0	0.914650	1.006115	0.983	67744	19	38.6	
2	39	2048	16	2	5	1.0	0.3	standard	0.0	0.903949	0.994344	0.983	67744	19	38.6	
2	40	4096	24	2	5	1.0	0.5	wpos_proj	2.0	0.952357	0.952357	2.949	200944	15	146.8	
2	41	2048	16	2	6	1.0	0.3	standard	0.0	0.916943	0.962790	1.180	67744	20	43.0	
2	42	4096	16	2	5	1.0	0.0	standard	1.0	0.922548	0.968675	1.966	135328	16	66.9	
2	43	2048	16	2	4	1.0	0.5	standard	0.0	0.892484	0.981732	0.786	67744	15	34.7	
2	44	2048	8	2	5	1.0	0.5	wpos_proj	0.5	0.899108	0.989019	0.492	34896	19	32.5	
2	45	2048	16	2	8	0.0	0.5	wpos_proj	1.5	0.952357	0.999975	1.573	67744	20	71.0	
2	46	2048	16	4	5	0.0	0.3	wpos_proj	0.0	0.169682	0.178166	1.966	67744	20	72.5	
2	47	2048	16	2	5	1.0	0.5	wpos_proj	0.0	0.919236	1.011159	0.983	67744	19	55.3	
2	48	1024	16	2	5	1.0	0.5	standard	0.5	0.841529	0.925682	0.492	33952	17	25.0	
2	49	4096	20	2	5	1.0	0.5	delta_proj	0.5	0.944713	0.944713	2.458	168136	20	122.5	
